rule_filterlist_France,blocked_etld
?Page=*&Width=300&,2
.adxcore.,2
/affiliates/promotools/* <+> /promotools/rotation. <+> /promotools/popup/* <+> /promotools.static.js,2
/promo/bannieres/* <+> /bannieres/habillage. <+> /pub/bannieres/* <+> ://bannieres.,2
/adfuel- <+> /adfuel/*,2
_banniere-728. <+> /adv_728_ <+> /pub/728. <+> -banner-728. <+> _pub_728. <+> /ads/2-728. <+> /adv_728. <+> /728-ad- <+> _ads_728. <+> _adv_728. <+> /pub_728_ <+> /pub/728_ <+> /ads/3-728.,2
?tour=*&campaign=$third-party,2
/adblockchecker.,2
&adPlayhead=,2
/pub/banniere/* <+> /pub/banniere_ <+> /banniere-pub- <+> /banniere_pub.,2
/182x600/*,2
/Siropu/AM/display.min.js <+> /Siropu/AM/display.js <+> /data/Siropu/images/*,2
/ad_bottom_ <+> /ads/bottom_ <+> /banner/bottom?,2
_personalized_ads,2
-Block-ads- <+> /Ad_block. <+> /ad-block.,2
/ad2-920- <+> /ads/ad2. <+> /ad2/show. <+> /core/ad2/*,2
/adaptive_*?type=ads&,2
/adserver-us.,2
.productads.,2
/custom/ads.,2
/ad3_ <+> /ad/ad3/* <+> _GIF_AD3_ <+> /core/ad3/*,2
://go.*?zoneid= <+> /ads.*/go. <+> ://go.*&zoneid=,2
/ads/ad1. <+> /ad1-920- <+> /ad1/View.,2
/servlet/effi.show?,2
/in-stream-ad-,2
||tripadvisor.*/partner/$third-party,2
/c.amazon-adsystem.com/*,2
.click/banner/ <+> /ads/click/* <+> .click/pub?id= <+> /click?pub=,2
.com/adv1/? <+> .fr/adv1/?,2
||com/wnload?a=*&tz=$third-party,2
/reactAds. <+> /reactAds-,2
-ad-script- <+> /ads_script_ <+> /pop/script. <+> /script/Pub.php?id= <+> /ad-script. <+> /ads_script. <+> /promo/script_,2
_jx.ads/,2
/userfiles/banners/* <+> /userfiles/ads/*,2
/pu/*?psid=,2
||kiev.ua^$third-party,2
/wp-content/plugins/mts-wp-in-post-ads/*,2
/img/sponsorships/* <+> /images/sponsorships/*,2
://clk.*/click?,2
/ad/view. <+> _ad_view_ <+> _ads_view/,2
/shareaholic/* <+> /shareaholic.js,2
/myadvertisements.,2
/pub-bandeau- <+> /bandeau_pub_ <+> /bandeau-pub- <+> /pub/bandeau_ <+> /img-bandeau-pub/*,2
